,ID,SleeveLength,LowerClothingLength,Hat,WaistAccessories,Neckline,Cardigan,CoveringNavel,UpperF,LowerF,OuterF,UpperP,LowerP,OuterP,Gender
0,00000080-01,5,3,0,3,2,1,1,1,1,7,3,4,7,0
1,00000089-01,0,3,0,3,2,1,1,1,1,7,3,3,7,0
2,00000089-02,3,3,0,3,4,1,1,1,1,7,2,3,7,0
3,00000089-03,1,3,0,3,2,1,1,1,1,7,3,3,7,0
4,00000089-04,3,3,0,3,4,1,1,0,1,7,3,3,7,0
5,00000089-05,1,3,0,3,2,1,1,1,1,7,3,3,7,0
6,00000089-08,3,3,2,3,4,0,1,1,1,0,4,3,3,0
7,00000089-15,1,3,2,3,4,1,1,1,1,7,3,3,7,0
8,00000089-17,0,3,0,3,1,1,1,1,1,7,3,3,7,0
9,00000089-18,3,3,0,3,2,1,1,1,1,7,3,3,7,0
10,00000089-26,2,3,0,3,4,1,1,1,1,7,3,3,7,0
11,00000089-27,2,3,0,3,4,1,1,1,1,7,3,3,7,0
12,00000089-28,2,3,0,3,4,1,1,1,1,7,3,3,7,0
13,00000089-29,3,3,0,3,2,1,1,1,1,7,3,3,7,0
14,00000089-44,1,3,0,3,4,1,1,1,1,7,3,3,7,0
15,00000089-45,1,3,0,3,4,1,1,1,1,7,3,3,7,0
16,00000089-46,1,3,0,3,4,1,1,1,1,7,3,3,7,0
17,00000182-01,1,3,0,3,0,1,1,1,1,7,3,3,7,0
18,00000265-01,1,1,1,0,2,1,1,1,1,7,3,3,7,0
19,00000313-01,1,3,0,3,4,1,1,1,0,7,4,3,7,0
20,00000353-01,3,3,1,3,2,0,1,1,0,1,3,3,3,0
21,00000353-02,3,3,0,2,4,1,1,1,0,0,3,4,3,0
22,00000516-01,0,3,0,3,2,1,1,1,0,7,3,3,7,0
23,00000565-01,3,3,1,3,4,1,1,1,0,7,4,4,7,0
24,00000750-01,3,3,0,3,2,0,1,1,0,1,3,4,3,0
25,00000826-01,1,3,0,3,0,1,1,1,1,7,3,3,7,0
26,00000826-02,2,3,0,3,2,1,1,1,1,7,3,3,7,0
27,00000826-03,1,3,0,3,2,1,1,1,0,7,3,3,7,0
28,00000826-04,0,3,0,3,2,1,1,1,0,7,3,4,7,0
29,00000867-01,1,3,2,3,6,2,2,1,0,7,3,5,7,0
30,00000938-02,3,3,0,3,2,0,1,1,1,2,2,3,3,0
31,00000938-03,1,3,0,3,2,1,1,1,1,7,3,3,7,0
32,00000938-05,1,3,0,3,4,1,1,0,1,7,3,4,7,0
33,00001198-01,3,3,0,3,3,1,1,1,1,7,3,3,7,0
34,00001198-02,3,3,0,3,3,1,1,1,1,7,3,4,7,0
35,00001198-03,3,3,0,3,3,1,1,1,1,7,3,3,7,0
36,00001198-04,3,3,0,3,3,1,1,1,1,7,3,4,7,0
37,00001223-01,3,3,2,1,2,0,1,1,0,1,3,4,3,0
38,00001231-01,0,3,2,3,2,1,1,1,0,7,3,4,7,0
39,00001952-01,3,3,1,3,4,1,1,0,1,7,3,3,7,0
40,00002243-01,3,3,1,3,6,0,1,1,0,1,3,3,3,0
41,00002476-01,3,3,0,3,2,1,1,1,0,7,3,4,7,0
42,00002559-01,1,3,0,3,2,1,1,1,0,7,3,4,7,0
43,00002559-03,1,3,0,3,2,1,1,1,0,7,3,3,7,0
44,00002578-01,0,3,0,3,2,1,1,1,1,7,3,4,7,0
45,00002707-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
46,00002735-01,3,3,0,3,2,1,1,1,0,7,3,3,7,0
47,00002760-01,3,3,2,3,6,1,1,1,0,7,3,3,7,0
48,00002760-04,3,3,1,3,4,1,1,1,0,7,4,4,7,0
49,00003074-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
50,00003242-01,1,3,0,3,2,1,1,1,0,7,3,3,7,0
51,00003252-01,1,3,0,3,2,1,1,1,1,7,3,4,7,0
52,00003341-01,1,3,0,3,2,1,1,1,0,7,3,4,7,0
53,00003570-01,1,3,0,3,4,1,1,1,1,7,3,3,7,0
54,00003734-01,3,3,0,3,2,1,1,4,0,7,2,3,7,0
55,00003845-02,1,3,2,3,3,1,1,1,0,7,3,4,7,0
56,00003879-01,0,3,0,3,2,1,1,1,1,7,3,1,7,0
57,00003879-02,0,3,0,3,2,1,1,1,1,7,3,1,7,0
58,00004051-01,1,3,0,3,2,1,1,1,0,7,3,3,7,0
59,00004064-01,2,3,0,3,4,1,1,0,0,7,3,4,7,0
60,00004714-01,3,3,0,3,2,1,1,1,0,7,3,3,7,0
61,00004807-01,1,3,0,3,0,1,1,1,0,7,3,3,7,0
62,00004998-01,0,3,2,3,0,1,1,1,0,7,3,4,7,0
63,00005208-01,3,3,0,3,2,0,1,1,1,2,3,3,3,0
64,00005378-01,3,3,0,3,2,1,1,4,1,7,3,3,7,0
65,00005447-01,3,3,2,3,2,0,1,1,0,1,3,3,3,0
66,00005608-01,1,3,0,3,2,1,1,1,0,7,3,4,7,0
67,00005663-01,3,3,2,3,2,1,1,1,1,7,3,3,7,0
